"Building ID","Address","Zip","Cohort - Sector","Cohort - Size","Verification Year","Community Area Name","Community Area Number","Ward","Latitude","Longitude","Location"
"101519","7430  S Rockwell St","60629","Commercial","> 50,000 Sq Ft","2025","Chicago Lawn","66","18","41.77517","-87.7139","(41.77517, -87.7139)"
"146897","1624  W Division St","60622","Residential","> 50,000 Sq Ft","2027","West Town","24","1","41.90225","-87.68448","(41.90225, -87.68448)"
"171878","1501 N Oakley Blvd","60622","Commercial","> 50,000 Sq Ft","2024","West Town","24","1","41.90877","-87.68434","(41.90877, -87.68434)"
"252219","5555 S Everett Ave","60637","Residential","> 50,000 Sq Ft","2027","Hyde Park","41","5","41.79374","-87.58243","(41.79374, -87.58243)"
"175542","3260  N Lake Shore Dr","60657","Residential","> 250,000 Sq F","2025","Lake View","6","44","41.93985","-87.65845","(41.93985, -87.65845)"
"175914","5225  S Harper Ave","60615","Residential","> 50,000 Sq Ft","2025","Hyde Park","41","4","41.80224","-87.60333","(41.80224, -87.60333)"
"260032","1616  E 50th Pl","60615","Residential","> 50,000 Sq Ft","2025","Kenwood","39","5","41.80224","-87.60333","(41.80224, -87.60333)"
"257198","1237 N California Ave","60622","Residential","> 50,000 Sq Ft",,"West Town","24","26","41.90315","-87.68142","(41.90315, -87.68142)"
"175320","240 W 107th Pl","60628","Residential","> 50,000 Sq Ft","2027","Roseland","49","34","41.69755","-87.61478","(41.69755, -87.61478)"
"251996","1600 S Prairie Ave","60616","Residential","> 250,000 Sq F","2026","Near South Side","33","3","41.85995","-87.62128","(41.85995, -87.62128)"
